Localização,Formato_Localizacao,Pais_Localizacao,Consistencia_Pais_Completa,Problemas_Localizacao,Localização_Padronizada,Cidade_Padronizada,Estado_Padronizado,Pais_Localizacao_Padronizado,Consistencia_Validada
"Lyon, Auvergne-Rhône-Alpes, France","Cidade, Estado, País",France,Consistente,['OK'],"Lyon, Auvergne-Rhone-Alpes, France",Lyon,Auvergne-Rhone-Alpes,France,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
Singapore,Apenas País,Singapore,Consistente,['OK'],Singapore,,,Singapore,True
"Rueil-Malmaison, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Rueil-Malmaison, Ile-de-France, France",Rueil-Malmaison,Ile-de-France,France,True
Isle of Man,Apenas País,Isle of Man,Apenas Localização tem país,['OK'],Isle of Man,,,Isle of Man,True
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
"Barberà del Vallès, Catalonia, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Barberà del Vallès, Catalonia, Spain",Barberà del Vallès,Catalonia,Spain,True
"Rambouillet, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Rambouillet, Ile-de-France, France",Rambouillet,Ile-de-France,France,True
United Kingdom,Apenas País,United Kingdom,Consistente,['OK'],United Kingdom,,,United Kingdom,True
"Dublin, County Dublin, Ireland","Cidade, Estado, País",Ireland,Consistente,['OK'],"Dublin, County Dublin, Ireland",Dublin,County Dublin,Ireland,True
Croatia,Apenas País,Croatia,Apenas Localização tem país,['OK'],Croatia,,,Croatia,True
"Vienna, Vienna, Austria","Cidade, Estado, País",Austria,Apenas Localização tem país,['OK'],"Vienna, Vienna, Austria",Vienna,Vienna,Austria,True
"Eichwalde, Brandenburg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Eichwalde, Brandenburg, Germany",Eichwalde,Brandenburg,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Springwood, Queensland, Australia","Cidade, Estado, País",Australia,Apenas Localização tem país,['OK'],"Springwood, Queensland, Australia",Springwood,Queensland,Australia,True
Greater Bielefeld Area,Apenas País,Greater Bielefeld Area,Inconsistente,['OK'],Greater Bielefeld Area,,,Greater Bielefeld Area,False
"Bavaria, Germany","Cidade, País",Germany,Consistente,['OK'],"Bavaria, Germany",Bavaria,,Germany,True
"Bavaria, Germany","Cidade, País",Germany,Consistente,['OK'],"Bavaria, Germany",Bavaria,,Germany,True
Wroclaw Metropolitan Area,Apenas País,Wroclaw Metropolitan Area,Inconsistente,['OK'],Wroclaw Metropolitan Area,,,Wroclaw Metropolitan Area,False
Wroclaw Metropolitan Area,Apenas País,Wroclaw Metropolitan Area,Inconsistente,['OK'],Wroclaw Metropolitan Area,,,Wroclaw Metropolitan Area,False
"Schwalbach, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Schwalbach, Hesse, Germany",Schwalbach,Hesse,Germany,True
"Schwalbach, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Schwalbach, Hesse, Germany",Schwalbach,Hesse,Germany,True
"Ansbach, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Ansbach, Bavaria, Germany",Ansbach,Bavaria,Germany,True
"Ansbach, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Ansbach, Bavaria, Germany",Ansbach,Bavaria,Germany,True
Ireland,Apenas País,Ireland,Apenas Localização tem país,['OK'],Ireland,,,Ireland,True
"Willisau, Lucerne, Switzerland","Cidade, Estado, País",Switzerland,Apenas Localização tem país,['OK'],"Willisau, Lucerne, Switzerland",Willisau,Lucerne,Switzerland,True
Lithuania,Apenas País,Lithuania,Consistente,['OK'],Lithuania,,,Lithuania,True
Lithuania,Apenas País,Lithuania,Consistente,['OK'],Lithuania,,,Lithuania,True
"Böblingen, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Böblingen, Baden-Württemberg, Germany",Böblingen,Baden-Württemberg,Germany,True
"Mainz, Rhineland-Palatinate, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Mainz, Rhineland-Palatinate, Germany",Mainz,Rhineland-Palatinate,Germany,True
"Mainz, Rhineland-Palatinate, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Mainz, Rhineland-Palatinate, Germany",Mainz,Rhineland-Palatinate,Germany,True
"Berlin und Umgebung, Deutschland","Cidade, País",Deutschland,Inconsistente,['OK'],"Berlin und Umgebung, Deutschland",Berlin und Umgebung,,Deutschland,True
"Berlin und Umgebung, Deutschland","Cidade, País",Deutschland,Inconsistente,['OK'],"Berlin und Umgebung, Deutschland",Berlin und Umgebung,,Deutschland,True
"Berlin und Umgebung, Deutschland","Cidade, País",Deutschland,Inconsistente,['OK'],"Berlin und Umgebung, Deutschland",Berlin und Umgebung,,Deutschland,True
"Bochum, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Bochum, North Rhine-Westphalia, Germany",Bochum,North Rhine-Westphalia,Germany,True
"Bochum, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Bochum, North Rhine-Westphalia, Germany",Bochum,North Rhine-Westphalia,Germany,True
"Bochum, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Bochum, North Rhine-Westphalia, Germany",Bochum,North Rhine-Westphalia,Germany,True
Argentina,Apenas País,Argentina,Apenas Localização tem país,['OK'],Argentina,,,Argentina,True
"Griesheim, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Griesheim, Hesse, Germany",Griesheim,Hesse,Germany,True
"Griesheim, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Griesheim, Hesse, Germany",Griesheim,Hesse,Germany,True
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Inconsistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,False
"Zaragoza, Aragon, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Zaragoza, Aragon, Spain",Zaragoza,Aragon,Spain,True
"Zaragoza, Aragon, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Zaragoza, Aragon, Spain",Zaragoza,Aragon,Spain,True
"Pabianicki, Łódzkie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Pabianicki, Łódzkie, Poland",Pabianicki,Łódzkie,Poland,True
"Pabianicki, Łódzkie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Pabianicki, Łódzkie, Poland",Pabianicki,Łódzkie,Poland,True
"Göttingen, Lower Saxony, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Göttingen, Lower Saxony, Germany",Göttingen,Lower Saxony,Germany,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"Chicago, Illinois, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Chicago, Illinois, United States",Chicago,Illinois,United States,True
"Chicago, Illinois, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Chicago, Illinois, United States",Chicago,Illinois,United States,True
Tallinn Metropolitan Area,Apenas País,Tallinn Metropolitan Area,Inconsistente,['OK'],Tallinn Metropolitan Area,,,Tallinn Metropolitan Area,False
"Copenhagen, Capital Region of Denmark, Denmark","Cidade, Estado, País",Denmark,Apenas Localização tem país,['OK'],"Copenhagen, Capital Region of Denmark, Denmark",Copenhagen,Capital Region of Denmark,Denmark,True
Greater Hamburg Area,Apenas País,Greater Hamburg Area,Inconsistente,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,False
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
"Rottenburg, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Rottenburg, Baden-Württemberg, Germany",Rottenburg,Baden-Württemberg,Germany,True
"Schleswig, Schleswig-Holstein, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Schleswig, Schleswig-Holstein, Germany",Schleswig,Schleswig-Holstein,Germany,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
Greater Pittsburgh Area,Apenas País,Greater Pittsburgh Area,Apenas Localização tem país,['OK'],Greater Pittsburgh Area,,,Greater Pittsburgh Area,True
France,Apenas País,France,Consistente,['OK'],"Capital, France",Capital,,France,True
"Milwaukee, Wisconsin, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Milwaukee, Wisconsin, United States",Milwaukee,Wisconsin,United States,True
"Mesa, Arizona, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Mesa, Arizona, United States",Mesa,Arizona,United States,True
"Mesa, Arizona, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Mesa, Arizona, United States",Mesa,Arizona,United States,True
"Munich Area, Germany","Cidade, País",Germany,Apenas Localização tem país,['OK'],"Munich Area, Germany",Munich Area,,Germany,True
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Apenas Localização tem país,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
"Harlow, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Harlow, England, United Kingdom",Harlow,England,United Kingdom,True
"Sint-Truiden Halmaal, Flanders, Belgium","Cidade, Estado, País",Belgium,Apenas Localização tem país,['OK'],"Sint-Truiden Halmaal, Flanders, Belgium",Sint-Truiden Halmaal,Flanders,Belgium,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Toulouse Area, France","Cidade, País",France,Consistente,['OK'],"Toulouse Area, France",Toulouse Area,,France,True
United Kingdom,Apenas País,United Kingdom,Apenas Localização tem país,['OK'],United Kingdom,,,United Kingdom,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
"Hyderabad, Telangana, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Hyderabad, Telangana, India",Hyderabad,Telangana,India,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Troy, Michigan, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Troy, Michigan, United States",Troy,Michigan,United States,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Apenas Localização tem país,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,True
"Auckland, Auckland, New Zealand","Cidade, Estado, País",New Zealand,Apenas Localização tem país,['OK'],"Auckland, Auckland, New Zealand",Auckland,Auckland,New Zealand,True
"Île-de-France, France","Cidade, País",France,Apenas Localização tem país,['OK'],"Ile-de-France, France",Ile-de-France,,France,True
United Arab Emirates,Apenas País,United Arab Emirates,Apenas Localização tem país,['OK'],United Arab Emirates,,,United Arab Emirates,True
"Great Wakering, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Great Wakering, England, United Kingdom",Great Wakering,England,United Kingdom,True
"Berlin Area, Germany","Cidade, País",Germany,Apenas Localização tem país,['OK'],"Berlin Area, Germany",Berlin Area,,Germany,True
"Gdynia, Pomorskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Gdynia, Pomorskie, Poland",Gdynia,Pomorskie,Poland,True
"Krefeld, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Krefeld, North Rhine-Westphalia, Germany",Krefeld,North Rhine-Westphalia,Germany,True
"Paris Area, France","Cidade, País",France,Consistente,['OK'],"Paris Area, France",Paris Area,,France,True
"Lyon, Rhône-Alpes, France","Cidade, Estado, País",France,Consistente,['OK'],"Lyon, Rhône-Alpes, France",Lyon,Rhône-Alpes,France,True
"Montpellier, Languedoc-Roussillon, France","Cidade, Estado, País",France,Consistente,['OK'],"Montpellier, Languedoc-Roussillon, France",Montpellier,Languedoc-Roussillon,France,True
Greater Montreal Metropolitan Area,Apenas País,Greater Montreal Metropolitan Area,Apenas Localização tem país,['OK'],Greater Montreal Metropolitan Area,,,Greater Montreal Metropolitan Area,True
"Paris Area, France","Cidade, País",France,Consistente,['OK'],"Paris Area, France",Paris Area,,France,True
Lithuania,Apenas País,Lithuania,Apenas Localização tem país,['OK'],Lithuania,,,Lithuania,True
"Toulouse, Occitanie, France","Cidade, Estado, País",France,Consistente,['OK'],"Toulouse, Occitanie, France",Toulouse,Occitanie,France,True
Brussels Metropolitan Area,Apenas País,Brussels Metropolitan Area,Apenas Localização tem país,['OK'],Brussels Metropolitan Area,,,Brussels Metropolitan Area,True
"Région de Paris, France","Cidade, País",France,Apenas Localização tem país,['OK'],"Région de Paris, France",Région de Paris,,France,True
"London, Greater London, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, Greater London, United Kingdom",London,Greater London,United Kingdom,True
"Schöneck, Saxony, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Schöneck, Saxony, Germany",Schöneck,Saxony,Germany,True
Argentina,Apenas País,Argentina,Consistente,['OK'],Argentina,,,Argentina,True
Egypt,Apenas País,Egypt,Apenas Localização tem país,['OK'],Egypt,,,Egypt,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
"Prescot, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Prescot, England, United Kingdom",Prescot,England,United Kingdom,True
"Manchester Area, United Kingdom","Cidade, País",United Kingdom,Apenas Localização tem país,['OK'],"Manchester Area, United Kingdom",Manchester Area,,United Kingdom,True
"Swindon, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Swindon, England, United Kingdom",Swindon,England,United Kingdom,True
"Karlsruhe, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Karlsruhe, Baden-Württemberg, Germany",Karlsruhe,Baden-Württemberg,Germany,True
"Bengaluru, Karnataka, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,True
"Bengaluru, Karnataka, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,True
"Bengaluru, Karnataka, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,True
"Bengaluru, Karnataka, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Bengaluru, Karnataka, India",Bengaluru,Karnataka,India,True
"Hyderabad, Telangana, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Hyderabad, Telangana, India",Hyderabad,Telangana,India,True
India,Apenas País,India,Apenas Localização tem país,['OK'],India,,,India,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
Greater Pittsburgh Area,Apenas País,Greater Pittsburgh Area,Apenas Localização tem país,['OK'],Greater Pittsburgh Area,,,Greater Pittsburgh Area,True
"Simmerath, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Simmerath, North Rhine-Westphalia, Germany",Simmerath,North Rhine-Westphalia,Germany,True
"Simmerath, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Simmerath, North Rhine-Westphalia, Germany",Simmerath,North Rhine-Westphalia,Germany,True
"Gdańsk, Pomorskie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Gdańsk, Pomorskie, Poland",Gdańsk,Pomorskie,Poland,True
"Peshawar, Khyber Pakhtunkhwa, Pakistan","Cidade, Estado, País",Pakistan,Consistente,['OK'],"Peshawar, Khyber Pakhtunkhwa, Pakistan",Peshawar,Khyber Pakhtunkhwa,Pakistan,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Inconsistente,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,False
"Nancy, Grand Est, France","Cidade, Estado, País",France,Consistente,['OK'],"Nancy, Grand Est, France",Nancy,Grand Est,France,True
Greater Chemnitz Area,Apenas País,Greater Chemnitz Area,Inconsistente,['OK'],Greater Chemnitz Area,,,Greater Chemnitz Area,False
Cork Metropolitan Area,Apenas País,Cork Metropolitan Area,Inconsistente,['OK'],Cork Metropolitan Area,,,Cork Metropolitan Area,False
"Seattle, Washington, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Seattle, Washington, United States",Seattle,Washington,United States,True
"Rio de Janeiro, Rio de Janeiro, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"Rio de Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro,Rio de Janeiro,Brazil,True
,Vazio,,Apenas País preenchido,['Vazio'],,,,,True
,Vazio,,Apenas País preenchido,['Vazio'],,,,,True
"Cologne, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Cologne, North Rhine-Westphalia, Germany",Cologne,North Rhine-Westphalia,Germany,True
France,Apenas País,France,Apenas Localização tem país,['OK'],"Capital, France",Capital,,France,True
"Brighton, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Brighton, England, United Kingdom",Brighton,England,United Kingdom,True
Ghent Metropolitan Area,Apenas País,Ghent Metropolitan Area,Apenas Localização tem país,['OK'],Ghent Metropolitan Area,,,Ghent Metropolitan Area,True
"Vilniaus, Lithuania","Cidade, País",Lithuania,Consistente,['OK'],"Vilniaus, Lithuania",Vilniaus,,Lithuania,True
"Bangalore Urban, Karnataka, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Bangalore Urban, Karnataka, India",Bangalore Urban,Karnataka,India,True
Greater Lyon Area,Apenas País,Greater Lyon Area,Inconsistente,['OK'],"Lyon, Auvergne-Rhône-Alpes, France",Lyon,Auvergne-Rhône-Alpes,France,False
"Prague, Czechia","Cidade, País",Czechia,Apenas Localização tem país,['OK'],"Prague, Czechia",Prague,,Czechia,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Dudley, United Kingdom","Cidade, País",United Kingdom,Apenas Localização tem país,['OK'],"Dudley, United Kingdom",Dudley,,United Kingdom,True
Malta,Apenas País,Malta,Apenas Localização tem país,['OK'],Malta,,,Malta,True
France,Apenas País,France,Consistente,['OK'],"Capital, France",Capital,,France,True
"Poznań, Wielkopolskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Poznań, Wielkopolskie, Poland",Poznań,Wielkopolskie,Poland,True
"Castelldefels, Catalonia, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Castelldefels, Catalonia, Spain",Castelldefels,Catalonia,Spain,True
"Caen, Lower Normandy, France","Cidade, Estado, País",France,Consistente,['OK'],"Caen, Lower Normandy, France",Caen,Lower Normandy,France,True
"Chamalières, Auvergne-Rhône-Alpes, France","Cidade, Estado, País",France,Consistente,['OK'],"Chamalières, Auvergne-Rhone-Alpes, France",Chamalières,Auvergne-Rhone-Alpes,France,True
"Kiel, Schleswig-Holstein, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Kiel, Schleswig-Holstein, Germany",Kiel,Schleswig-Holstein,Germany,True
"Stuttgart, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany,True
"Sainte-Eulalie, Nouvelle-Aquitaine, France","Cidade, Estado, País",France,Consistente,['OK'],"Sainte-Eulalie, Nouvelle-Aquitaine, France",Sainte-Eulalie,Nouvelle-Aquitaine,France,True
"Newcastle, KwaZulu-Natal, South Africa","Cidade, Estado, País",South Africa,Apenas Localização tem país,['OK'],"Newcastle, KwaZulu-Natal, South Africa",Newcastle,KwaZulu-Natal,South Africa,True
"Gdańsk, Pomorskie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Gdańsk, Pomorskie, Poland",Gdańsk,Pomorskie,Poland,True
"Moscow, Moscow City, Russia","Cidade, Estado, País",Russia,Consistente,['OK'],"Moscow, Moscow City, Russia",Moscow,Moscow City,Russia,True
"Brussels, Brussels Region, Belgium","Cidade, Estado, País",Belgium,Consistente,['OK'],"Brussels, Brussels Region, Belgium",Brussels,Brussels Region,Belgium,True
Greater Rennes Metropolitan Area,Apenas País,Greater Rennes Metropolitan Area,Inconsistente,['OK'],Greater Rennes Metropolitan Area,,,Greater Rennes Metropolitan Area,False
Greater Hamburg Area,Apenas País,Greater Hamburg Area,Apenas Localização tem país,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
France,Apenas País,France,Consistente,['OK'],"Capital, France",Capital,,France,True
France,Apenas País,France,Consistente,['OK'],"Capital, France",Capital,,France,True
"Limoges, Limousin, France","Cidade, Estado, País",France,Consistente,['OK'],"Limoges, Limousin, France",Limoges,Limousin,France,True
"Limoges, Limousin, France","Cidade, Estado, País",France,Consistente,['OK'],"Limoges, Limousin, France",Limoges,Limousin,France,True
"Nantes, Pays de la Loire, France","Cidade, Estado, País",France,Consistente,['OK'],"Nantes, Pays de la Loire, France",Nantes,Pays de la Loire,France,True
"Nantes, Pays de la Loire, France","Cidade, Estado, País",France,Consistente,['OK'],"Nantes, Pays de la Loire, France",Nantes,Pays de la Loire,France,True
"Berlin, Berlin, Allemagne","Cidade, Estado, País",Allemagne,Inconsistente,['OK'],"Berlin, Berlin, Allemagne",Berlin,Berlin,Allemagne,False
"Dartford, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Dartford, United Kingdom",Dartford,,United Kingdom,True
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
Argentina,Apenas País,Argentina,Consistente,['OK'],Argentina,,,Argentina,True
"Hamburg, Hamburg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
"Lublin, Lubelskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Lublin, Lubelskie, Poland",Lublin,Lubelskie,Poland,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"Slough, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Slough, United Kingdom",Slough,,United Kingdom,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Lausanne Metropolitan Area,Apenas País,Lausanne Metropolitan Area,Inconsistente,['OK'],Lausanne Metropolitan Area,,,Lausanne Metropolitan Area,False
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
"Wielkopolskie, Poland","Cidade, País",Poland,Consistente,['OK'],"Wielkopolskie, Poland",Wielkopolskie,,Poland,True
"Wielkopolskie, Poland","Cidade, País",Poland,Consistente,['OK'],"Wielkopolskie, Poland",Wielkopolskie,,Poland,True
Berlin Metropolitan Area,Apenas País,Berlin Metropolitan Area,Inconsistente,['OK'],Berlin Metropolitan Area,,,Berlin Metropolitan Area,False
Berlin Metropolitan Area,Apenas País,Berlin Metropolitan Area,Inconsistente,['OK'],Berlin Metropolitan Area,,,Berlin Metropolitan Area,False
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Leipzig, Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Leipzig, Saxony, Germany",Leipzig,Saxony,Germany,True
