País da empresa,Localização da empresa,Estado,Cidade,Cidade_empresa,Estado_empresa,Localizacao_empresa_padronizada,Cidade_empresa_padronizada,Estado_empresa_padronizada,Pais_empresa_padronizada,Pais_consistente
Germany,"Bochum, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Bochum,North Rhine-Westphalia,"Bochum, Renânia Do Norte-Vestfália, Alemanha",Bochum,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Bochum, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Bochum,North Rhine-Westphalia,"Bochum, Renânia Do Norte-Vestfália, Alemanha",Bochum,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"Dunsden Green, England, United Kingdom",England,Wallingford,Dunsden Green,England,"Dunsden Green, Inglaterra, Reino Unido",Dunsden Green,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria",,,Munich,Bavaria,"Munich, Bavaria",Munich,,Bavaria,Bavaria
Germany,"Munich, Bavaria",,,Munich,Bavaria,"Munich, Bavaria",Munich,,Bavaria,Bavaria
France,"Lyon, Auvergne-Rhône-Alpes, France",Île-de-France,Paris,Lyon,Auvergne-Rhône-Alpes,"Lyon, Auvergne-Rhône-Alpes, França",Lyon,Auvergne-Rhône-Alpes,França,França
France,"Lyon, Auvergne-Rhône-Alpes, France",Île-de-France,Paris,Lyon,Auvergne-Rhône-Alpes,"Lyon, Auvergne-Rhône-Alpes, França",Lyon,Auvergne-Rhône-Alpes,França,França
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
France,"Montreuil, Île-de-France, France",Auvergne-Rhône-Alpes,Lyon,Montreuil,Île-de-France,"Montreuil, Ilha De França, França",Montreuil,Ilha De França,França,França
Germany,"Munich, Bavaria, Germany",Bavaria,Munich,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Poland,Poland,,,Poland,,Poland,Poland,,,Singapore
France,"Clichy, Île-de-France, France",Île-de-France,Rueil-Malmaison,Clichy,Île-de-France,"Clichy, Ilha De França, França",Clichy,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United States,"New York, New York, United States",Mazowieckie,Warsaw,New York,New York,"New York, New York, United States",New York,New York,United States,United States
France,"Courbevoie, Île-de-France, France",,,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
Spain,"Cerdanyola del Vallès, Catalonia, Spain",Catalonia,Barberà del Vallès,Cerdanyola del Vallès,Catalonia,"Cerdanyola Del Vallès, Catalunha, Espanha",Cerdanyola Del Vallès,Catalunha,Espanha,Espanha
France,"Boulogne-Billancourt, Île-de-France, France",Île-de-France,Rambouillet,Boulogne-Billancourt,Île-de-France,"Boulogne-Billancourt, Ilha De França, França",Boulogne-Billancourt,Ilha De França,França,França
United Kingdom,"Newcastle Upon Tyne, England, United Kingdom",,,Newcastle Upon Tyne,England,"Newcastle Upon Tyne, Inglaterra, Reino Unido",Newcastle Upon Tyne,Inglaterra,Reino Unido,Reino Unido
Ireland,"Galway, County Galway, Ireland",County Dublin,Dublin,Galway,County Galway,"Galway, County Galway, Irlanda",Galway,County Galway,Irlanda,Irlanda
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hamburg, Hamburg, Germany",Vienna,Vienna,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Brandenburg,Eichwalde,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",North Rhine-Westphalia,Düsseldorf,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",North Rhine-Westphalia,Düsseldorf,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Australia,"9 Sherwood Rd, PO Box 342",Queensland,Springwood,9 Sherwood Rd,PO Box 342,"9 Sherwood Rd, Po Box 342",9 Sherwood Rd,,Po Box 342,Po Box 342
Germany,"Osnabrück, Deutschland",,,Osnabrück,Deutschland,"Osnabrück, Deutschland",Osnabrück,,Deutschland,Deutschland
Germany,"Munich, Bavaria, Germany",,Bavaria,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,Bavaria,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Poland,"Wrocław, Dolnośląskie, Poland",,,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Poland,"Wrocław, Dolnośląskie, Poland",,,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Germany,"Schwalbach, Hesse, Germany",Hesse,Schwalbach,Schwalbach,Hesse,"Schwalbach, Hessen, Alemanha",Schwalbach,Hessen,Alemanha,Alemanha
Germany,"Schwalbach, Hesse, Germany",Hesse,Schwalbach,Schwalbach,Hesse,"Schwalbach, Hessen, Alemanha",Schwalbach,Hessen,Alemanha,Alemanha
Germany,"Stuttgart, Baden-Württemberg, Germany",Bavaria,Ansbach,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Germany,"Stuttgart, Baden-Württemberg, Germany",Bavaria,Ansbach,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Ireland,"Kilmainhamwood, County Meath, Ireland",,,Kilmainhamwood,County Meath,"Kilmainhamwood, County Meath, Irlanda",Kilmainhamwood,County Meath,Irlanda,Irlanda
United Kingdom,"London, England, United Kingdom",Lucerne,Willisau,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Germany,"Böblingen, Baden-Württemberg, Germany",Baden-Württemberg,Böblingen,Böblingen,Baden-Württemberg,"Böblingen, Baden-Württemberg, Alemanha",Böblingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Mainz, Rhineland-Palatinate, Germany",Rhineland-Palatinate,Mainz,Mainz,Rhineland-Palatinate,"Mainz, Rhineland-Palatinate, Alemanha",Mainz,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Mainz, Rhineland-Palatinate, Germany",Rhineland-Palatinate,Mainz,Mainz,Rhineland-Palatinate,"Mainz, Rhineland-Palatinate, Alemanha",Mainz,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",,Berlin und Umgebung,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",,Berlin und Umgebung,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",,Berlin und Umgebung,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Essen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Bochum,Essen,North Rhine-Westphalia,"Essen, Renânia Do Norte-Vestfália, Alemanha",Essen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Essen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Bochum,Essen,North Rhine-Westphalia,"Essen, Renânia Do Norte-Vestfália, Alemanha",Essen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Essen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Bochum,Essen,North Rhine-Westphalia,"Essen, Renânia Do Norte-Vestfália, Alemanha",Essen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Griesheim, Hesse, Germany",Hesse,Griesheim,Griesheim,Hesse,"Griesheim, Hessen, Alemanha",Griesheim,Hessen,Alemanha,Alemanha
Germany,"Griesheim, Hesse, Germany",Hesse,Griesheim,Griesheim,Hesse,"Griesheim, Hessen, Alemanha",Griesheim,Hessen,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Spain,"Zaragoza, Aragon",Aragon,Zaragoza,Zaragoza,Aragon,"Zaragoza, Aragon",Zaragoza,,Aragon,Aragon
Spain,"Zaragoza, Aragon",Aragon,Zaragoza,Zaragoza,Aragon,"Zaragoza, Aragon",Zaragoza,,Aragon,Aragon
Poland,"Wrocław, Dolnośląskie, Poland",Łódzkie,Pabianicki,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Poland,"Wrocław, Dolnośląskie, Poland",Łódzkie,Pabianicki,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Germany,"Bovenden, Lower Saxony, Germany",Lower Saxony,Göttingen,Bovenden,Lower Saxony,"Bovenden, Lower Saxony, Alemanha",Bovenden,Lower Saxony,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Unterföhring, Bavaria",Illinois,Chicago,Unterföhring,Bavaria,"Unterföhring, Bavaria",Unterföhring,,Bavaria,Bavaria
Germany,"Unterföhring, Bavaria",Illinois,Chicago,Unterföhring,Bavaria,"Unterföhring, Bavaria",Unterföhring,,Bavaria,Bavaria
Estonia,"Tallinn, Harjumaa, Estonia",,,Tallinn,Harjumaa,"Tallinn, Harjumaa, Estonia",Tallinn,Harjumaa,Estonia,Estonia
United Kingdom,"London, England, United Kingdom",Capital Region of Denmark,Copenhagen,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hamburg, Hamburg, Germany",,,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Tübingen, Baden-Württemberg, Germany",Baden-Württemberg,Rottenburg,Tübingen,Baden-Württemberg,"Tübingen, Baden-Württemberg, Alemanha",Tübingen,Baden-Württemberg,Alemanha,Alemanha
Germany,"Flensburg, Schleswig-Holstein, Germany",Schleswig-Holstein,Schleswig,Flensburg,Schleswig-Holstein,"Flensburg, Schleswig-Holstein, Alemanha",Flensburg,Schleswig-Holstein,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Waldorf, Rhineland-Palatinate, Germany",,,Waldorf,Rhineland-Palatinate,"Waldorf, Rhineland-Palatinate, Alemanha",Waldorf,Rhineland-Palatinate,Alemanha,Alemanha
France,"Malakoff, Île-de-France, France",,,Malakoff,Île-de-France,"Malakoff, Ilha De França, França",Malakoff,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",Wisconsin,Milwaukee,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Frankfurt, Hesse, Germany",Arizona,Mesa,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Germany,"Frankfurt, Hesse, Germany",Arizona,Mesa,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,Munich Area,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Germering, Bavaria, Germany",,,Germering,Bavaria,"Germering, Baviera, Alemanha",Germering,Baviera,Alemanha,Alemanha
France,France,England,Harlow,France,,France,France,,,
Belgium,"Brussels, Brussels Region, Belgium",Flanders,Sint-Truiden Halmaal,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
France,"Issy-les-Moulineaux, Île-de-France, France",,Toulouse Area,Issy-les-Moulineaux,Île-de-France,"Issy-Les-Moulineaux, Ilha De França, França",Issy-Les-Moulineaux,Ilha De França,França,França
Estonia,"Tallinn, Harjumaa, Estonia",,,Tallinn,Harjumaa,"Tallinn, Harjumaa, Estonia",Tallinn,Harjumaa,Estonia,Estonia
Germany,"Munich, Bavaria, Germany",Bavaria,Munich,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Poland,"Gdańsk, Pomorskie, Poland",Telangana,Hyderabad,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
France,"Roubaix, Hauts-de-France, France",Île-de-France,Paris,Roubaix,Hauts-de-France,"Roubaix, Hauts-De-France, França",Roubaix,Hauts-De-France,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Düsseldorf, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Düsseldorf,North Rhine-Westphalia,"Düsseldorf, Renânia Do Norte-Vestfália, Alemanha",Düsseldorf,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Michigan,Troy,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Mannheim, Baden-Württemberg, Germany",,,Mannheim,Baden-Württemberg,"Mannheim, Baden-Württemberg, Alemanha",Mannheim,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"Tiverton, England, United Kingdom",Auckland,Auckland,Tiverton,England,"Tiverton, Inglaterra, Reino Unido",Tiverton,Inglaterra,Reino Unido,Reino Unido
France,"Labretonie, Nouvelle-Aquitaine, France",,Île-de-France,Labretonie,Nouvelle-Aquitaine,"Labretonie, Nouvelle-Aquitaine, França",Labretonie,Nouvelle-Aquitaine,França,França
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Great Wakering,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Berlin, Berlin, Germany",,Berlin Area,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Poland,"Gdańsk, Pomorskie, Poland",Pomorskie,Gdynia,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
Germany,"Frankfurt, Hesse, Germany",North Rhine-Westphalia,Krefeld,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
United States,"Chicago, Illinois, United States",,Paris Area,Chicago,Illinois,"Chicago, Illinois, United States",Chicago,Illinois,United States,United States
France,"Paris, Île-de-France, France",Rhône-Alpes,Lyon,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Languedoc-Roussillon,Montpellier,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,Paris Area,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Occitanie,Toulouse,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",,,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"Issy-les-Moulineaux, Île-de-France, France",,Région de Paris,Issy-les-Moulineaux,Île-de-France,"Issy-Les-Moulineaux, Ilha De França, França",Issy-Les-Moulineaux,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",Greater London,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Schöneck, Saxony, Germany",Saxony,Schöneck,Schöneck,Saxony,"Schöneck, Saxony, Alemanha",Schöneck,Saxony,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
United Kingdom,"Prescot, England, United Kingdom",England,Prescot,Prescot,England,"Prescot, Inglaterra, Reino Unido",Prescot,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"Wigan, England, United Kingdom",,Manchester Area,Wigan,England,"Wigan, Inglaterra, Reino Unido",Wigan,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Swindon,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Karlsruhe, Baden-Württemberg, Germany",Baden-Württemberg,Karlsruhe,Karlsruhe,Baden-Württemberg,"Karlsruhe, Baden-Württemberg, Alemanha",Karlsruhe,Baden-Württemberg,Alemanha,Alemanha
Poland,"Gdańsk, Pomorskie, Poland",Karnataka,Bengaluru,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",Karnataka,Bengaluru,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Karnataka,Bengaluru,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Gdańsk, Pomorskie, Poland",Karnataka,Bengaluru,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
United Kingdom,"Birmingham, England, United Kingdom",Telangana,Hyderabad,Birmingham,England,"Birmingham, Inglaterra, Reino Unido",Birmingham,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"Harrow, England, United Kingdom",,,Harrow,England,"Harrow, Inglaterra, Reino Unido",Harrow,Inglaterra,Reino Unido,Reino Unido
France,"Marquette-lez-Lille, Hauts-de-France, France",,,Marquette-lez-Lille,Hauts-de-France,"Marquette-Lez-Lille, Hauts-De-France, França",Marquette-Lez-Lille,Hauts-De-France,França,França
Germany,"Waldorf, Rhineland-Palatinate, Germany",,,Waldorf,Rhineland-Palatinate,"Waldorf, Rhineland-Palatinate, Alemanha",Waldorf,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Aachen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Simmerath,Aachen,North Rhine-Westphalia,"Aachen, Renânia Do Norte-Vestfália, Alemanha",Aachen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Aachen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Simmerath,Aachen,North Rhine-Westphalia,"Aachen, Renânia Do Norte-Vestfália, Alemanha",Aachen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
,,Pomorskie,Gdańsk,,,"Gdańsk, Pomorskie",,,,
Germany,"Essen, North Rhine-Westphalia, Germany",Khyber Pakhtunkhwa,Peshawar,Essen,North Rhine-Westphalia,"Essen, Renânia Do Norte-Vestfália, Alemanha",Essen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
France,"Paris, Île-de-France, France",Grand Est,Nancy,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Chemnitz, Saxony, Germany",,,Chemnitz,Saxony,"Chemnitz, Saxony, Alemanha",Chemnitz,Saxony,Alemanha,Alemanha
Ireland,"Cork, County Cork, Ireland",,,Cork,County Cork,"Cork, County Cork, Irlanda",Cork,County Cork,Irlanda,Irlanda
United States,"Irvine, California, United States",Washington,Seattle,Irvine,California,"Irvine, California, United States",Irvine,California,United States,United States
United Kingdom,"London, England, United Kingdom",Rio de Janeiro,Rio de Janeiro,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Vannes, Brittany, France",,,Vannes,Brittany,"Vannes, Brittany, França",Vannes,Brittany,França,França
France,"Vannes, Brittany, France",,,Vannes,Brittany,"Vannes, Brittany, França",Vannes,Brittany,França,França
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
France,France,,,France,,France,France,,,
United Kingdom,"London, England, United Kingdom",England,Brighton,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Belgium,Belgium,,,Belgium,,Belgium,Belgium,,,
United Kingdom,"London, England, United Kingdom",,Vilniaus,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Gdańsk, Pomorskie, Poland",Karnataka,Bangalore Urban,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
France,"Beauvais, Hauts-de-France, France",,,Beauvais,Hauts-de-France,"Beauvais, Hauts-De-France, França",Beauvais,Hauts-De-France,França,França
United Kingdom,"London, England, United Kingdom",,Prague,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Coblenz, Rhineland-Palatinate, Germany",Berlin,Berlin,Coblenz,Rhineland-Palatinate,"Coblenz, Rhineland-Palatinate, Alemanha",Coblenz,Rhineland-Palatinate,Alemanha,Alemanha
United Kingdom,"Whittington, England, United Kingdom",,Dudley,Whittington,England,"Whittington, Inglaterra, Reino Unido",Whittington,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Wielkopolskie,Poznań,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Catalonia,Castelldefels,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"Paris, Île-de-France, France",Lower Normandy,Caen,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Le Puy, Auvergne-Rhône-Alpes, France",Auvergne-Rhône-Alpes,Chamalières,Le Puy,Auvergne-Rhône-Alpes,"Le Puy, Auvergne-Rhône-Alpes, França",Le Puy,Auvergne-Rhône-Alpes,França,França
Germany,"Kiel, Schleswig-Holstein, Germany",Schleswig-Holstein,Kiel,Kiel,Schleswig-Holstein,"Kiel, Schleswig-Holstein, Alemanha",Kiel,Schleswig-Holstein,Alemanha,Alemanha
Germany,"Heilbronn, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Heilbronn,Baden-Württemberg,"Heilbronn, Baden-Württemberg, Alemanha",Heilbronn,Baden-Württemberg,Alemanha,Alemanha
France,"Paris, Île-de-France, France",Nouvelle-Aquitaine,Sainte-Eulalie,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Frankfurt, Hesse, Germany",KwaZulu-Natal,Newcastle,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Poland,"Gdańsk, Pomorskie, Poland",Pomorskie,Gdańsk,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
Germany,"Nuremberg, Bavaria, Germany",Moscow City,Moscow,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Belgium,"Brussels, Brussels Region, Belgium",Brussels Region,Brussels,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
France,"Canton of Cesson-Sévigné, Brittany, France",,,Canton of Cesson-Sévigné,Brittany,"Canton Of Cesson-Sévigné, Brittany, França",Canton Of Cesson-Sévigné,Brittany,França,França
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
