Geografia_ID,Cidade,Estado,Pais,Pais padronizado,Regiao Europa,Europa
GEO337,,,Israel,Israel,Outros,Outros
GEO338,Baduria,West Bengal,India,India,Outros,Outros
GEO339,,,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO340,São Paulo,São Paulo,Brazil,Brazil,Outros,Outros
GEO341,Marinha Grande,Leiria,Portugal,Portugal,Europa do Sul,Europa
GEO342,Gosport,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO343,Nordhausen,Thuringia,Germany,Germany,Europa Ocidental,Europa
GEO344,Huangpu District,Shanghai,China,China,Outros,Outros
GEO345,Wrocław,Dolnośląskie,Poland,Poland,Leste Europeu,Europa
GEO346,Munich,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO347,,,Greater Marseille Metropolitan Area,France,Europa Ocidental,Europa
GEO348,Nordhofen,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO349,Lyon,Auvergne-Rhône-Alpes,France,France,Europa Ocidental,Europa
GEO350,Gressy,Ile-de-France,France,France,Europa Ocidental,Europa
GEO351,St.-Denis,Ile-de-France,France,France,Europa Ocidental,Europa
GEO352,Waterloo,Walloon Region,Belgium,Belgium,Europa Ocidental,Europa
GEO353,Rostock Area,,Germany,Germany,Europa Ocidental,Europa
GEO354,Pau Area,,France,France,Europa Ocidental,Europa
GEO355,Madrid,Community of Madrid,Spain,Spain,Europa do Sul,Europa
GEO356,Oviedo,Principality of Asturias,Spain,Spain,Europa do Sul,Europa
GEO357,Emsdetten,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO358,,,Greater Oxford Area,United Kingdom,Norte da Europa (Ilhas),Europa
GEO359,Dublin,County Dublin,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO360,South Gyeongsang,,"Korea, Republic of",South Korea,Outros,Outros
GEO361,Toulouse,Occitanie,France,France,Europa Ocidental,Europa
GEO362,Weiterstadt,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO363,Gdańsk,Pomorskie,Poland,Poland,Leste Europeu,Europa
GEO364,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Europa Ocidental,Europa
GEO365,Ballyward,Northern Ireland,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO366,,,Frankfurt Rhine-Main Metropolitan Area,Germany,Europa Ocidental,Europa
GEO367,Paris Area,,France,France,Europa Ocidental,Europa
GEO368,Lyon Area,,France,France,Europa Ocidental,Europa
GEO369,,,Greater Bremen Area,Germany,Europa Ocidental,Europa
GEO370,Leipzig,Saxony,Germany,Germany,Europa Ocidental,Europa
GEO371,Chelmsford,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO372,Föhren,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO373,Roßdorf,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO374,,,Greater Karlsruhe Area,Germany,Europa Ocidental,Europa
GEO375,Capital,,Spain,Spain,Europa do Sul,Europa
GEO376,Düsseldorf,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO377,Duffel,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO378,,,Greater Reading Area,United States,Outros,Outros
GEO379,Berlin,Berlin,Germany,Germany,Europa Ocidental,Europa
GEO380,,,Greater Bielefeld Area,Germany,Europa Ocidental,Europa
GEO381,Lublin,Lubelskie,Poland,Poland,Leste Europeu,Europa
GEO382,La Línea,Andalusia,Spain,Spain,Europa do Sul,Europa
GEO383,,,Ruhr Region,Germany,Europa Ocidental,Europa
GEO384,Waterlooville,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO385,,,Cologne Bonn Region,Germany,Europa Ocidental,Europa
GEO386,Bordeaux,Nouvelle-Aquitaine,France,France,Europa Ocidental,Europa
GEO387,Paris,Île-de-France,France,France,Europa Ocidental,Europa
GEO388,Temascalapa,México,Mexico,Mexico,Outros,Outros
GEO389,Las Rozas de Madrid,Community of Madrid,Spain,Spain,Europa do Sul,Europa
GEO390,,,Greater Valencia Metropolitan Area,Spain,Europa do Sul,Europa
GEO391,Dresden,Saxony,Germany,Germany,Europa Ocidental,Europa
GEO392,,,Berlin Metropolitan Area,Germany,Europa Ocidental,Europa
GEO393,Gibraltar,,Gibraltar,Gibraltar,Outros,Europa
GEO394,Warsaw,Mazowieckie,Poland,Poland,Leste Europeu,Europa
GEO395,Birmingham,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO396,Lyon,Auvergne-Rhone-Alpes,France,France,Europa Ocidental,Europa
GEO397,Issy-les-Moulineaux,Ile-de-France,France,France,Europa Ocidental,Europa
GEO398,,,Charleroi Metropolitan Area,Belgium,Europa Ocidental,Europa
GEO399,Wallingford,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO400,,,Singapore,Singapore,#ERROR!,Outros
GEO401,Rueil-Malmaison,Ile-de-France,France,France,Europa Ocidental,Europa
GEO402,,,Isle of Man,Isle of Man,Outros,Europa
GEO403,Barberà del Vallès,Catalonia,Spain,Spain,Europa do Sul,Europa
GEO404,Rambouillet,Ile-de-France,France,France,Europa Ocidental,Europa
GEO405,,,Croatia,Croatia,Outros,Europa
GEO406,Vienna,Vienna,Austria,Austria,Outros,Europa
GEO407,Eichwalde,Brandenburg,Germany,Germany,Europa Ocidental,Europa
GEO408,Springwood,Queensland,Australia,Australia,Outros,Outros
GEO409,Bavaria,,Germany,Germany,Europa Ocidental,Europa
GEO410,,,Wroclaw Metropolitan Area,Poland,Leste Europeu,Europa
GEO411,Schwalbach,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO412,Ansbach,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO413,Willisau,Lucerne,Switzerland,Switzerland,Outros,Europa
GEO414,,,Lithuania,Lithuania,Outros,Europa
GEO415,Böblingen,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO416,Mainz,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO417,Berlin und Umgebung,,Deutschland,Germany,Europa Ocidental,Europa
GEO418,Bochum,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO419,,,Argentina,Argentina,Outros,Outros
GEO420,Griesheim,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO421,Pabianicki,Łódzkie,Poland,Poland,Leste Europeu,Europa
GEO422,Göttingen,Lower Saxony,Germany,Germany,Europa Ocidental,Europa
GEO423,,,Tallinn Metropolitan Area,Estonia,Outros,Europa
GEO424,Copenhagen,Capital Region of Denmark,Denmark,Denmark,Nórdicos,Europa
GEO425,Hamburg,Hamburg,Germany,Germany,Europa Ocidental,Europa
GEO426,Rottenburg,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO427,Schleswig,Schleswig-Holstein,Germany,Germany,Europa Ocidental,Europa
GEO428,,,Greater Pittsburgh Area,United States,Outros,Outros
GEO429,Capital,,France,France,Europa Ocidental,Europa
GEO430,Milwaukee,Wisconsin,United States,United States,Outros,Outros
GEO431,Mesa,Arizona,United States,United States,Outros,Outros
GEO432,Munich Area,,Germany,Germany,Europa Ocidental,Europa
GEO433,Harlow,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO434,Sint-Truiden Halmaal,Flanders,Belgium,Belgium,Europa Ocidental,Europa
GEO435,Toulouse Area,,France,France,Europa Ocidental,Europa
GEO436,Hyderabad,Telangana,India,India,Outros,Outros
GEO437,Troy,Michigan,United States,United States,Outros,Outros
GEO438,Auckland,Auckland,New Zealand,New Zealand,Outros,Outros
GEO439,Ile-de-France,,France,France,Europa Ocidental,Europa
GEO440,,,United Arab Emirates,United Arab Emirates,Outros,Outros
GEO441,Great Wakering,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO442,Berlin Area,,Germany,Germany,Europa Ocidental,Europa
GEO443,Krefeld,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO444,Lyon,Rhône-Alpes,France,France,Europa Ocidental,Europa
GEO445,Montpellier,Languedoc-Roussillon,France,France,Europa Ocidental,Europa
GEO446,,,Greater Montreal Metropolitan Area,Canada,Outros,Outros
GEO447,,,Brussels Metropolitan Area,Belgium,Europa Ocidental,Europa
GEO448,Région de Paris,,France,France,Europa Ocidental,Europa
GEO449,London,Greater London,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO450,Schöneck,Saxony,Germany,Germany,Europa Ocidental,Europa
GEO451,,,Egypt,Egypt,Outros,Outros
GEO452,Prescot,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO453,Manchester Area,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO454,Swindon,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO455,Karlsruhe,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO456,Bengaluru,Karnataka,India,India,Outros,Outros
GEO457,,,India,India,Outros,Outros
GEO458,Simmerath,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO459,Peshawar,Khyber Pakhtunkhwa,Pakistan,Pakistan,Outros,Outros
GEO460,Nancy,Grand Est,France,France,Europa Ocidental,Europa
GEO461,,,Greater Chemnitz Area,Germany,Europa Ocidental,Europa
GEO462,,,Cork Metropolitan Area,Ireland,Norte da Europa (Ilhas),Europa
GEO463,Rio de Janeiro,Rio de Janeiro,Brazil,Brazil,Outros,Outros
GEO464,Cologne,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO465,Brighton,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO466,,,Ghent Metropolitan Area,Belgium,Europa Ocidental,Europa
GEO467,Vilniaus,,Lithuania,Lithuania,Outros,Europa
GEO468,Bangalore Urban,Karnataka,India,India,Outros,Outros
GEO469,Prague,,Czechia,Czechia,Leste Europeu,Europa
GEO470,Dudley,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO471,,,Malta,Malta,Outros,Europa
GEO472,Poznań,Wielkopolskie,Poland,Poland,Leste Europeu,Europa
GEO473,Caen,Lower Normandy,France,France,Europa Ocidental,Europa
GEO474,Chamalières,Auvergne-Rhone-Alpes,France,France,Europa Ocidental,Europa
GEO475,Kiel,Schleswig-Holstein,Germany,Germany,Europa Ocidental,Europa
GEO476,Stuttgart,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO477,Sainte-Eulalie,Nouvelle-Aquitaine,France,France,Europa Ocidental,Europa
GEO478,Newcastle,KwaZulu-Natal,South Africa,South Africa,Outros,Outros
GEO479,Moscow,Moscow City,Russia,Russia,Outros,Europa
GEO480,Brussels,Brussels Region,Belgium,Belgium,Europa Ocidental,Europa
GEO481,,,Greater Rennes Metropolitan Area,France,Europa Ocidental,Europa
GEO482,Limoges,Limousin,France,France,Europa Ocidental,Europa
GEO483,Nantes,Pays de la Loire,France,France,Europa Ocidental,Europa
GEO484,Berlin,Berlin,Allemagne,Germany,Europa Ocidental,Europa
GEO485,Dartford,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO486,Slough,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO487,,,Lausanne Metropolitan Area,Switzerland,Outros,Europa
GEO488,Wielkopolskie,,Poland,Poland,Leste Europeu,Europa
GEO489,,,"Korea, Republic of",South Korea,Outros,Outros
GEO490,Leioa,Basque Country,Spain,Spain,Europa do Sul,Europa
GEO491,Friedberg,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO492,,,Greater Blackburn with Darwen Area,United Kingdom,Norte da Europa (Ilhas),Europa
GEO493,Noida,Uttar Pradesh,India,India,Outros,Outros
GEO494,Gondomar,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO495,,,Romenia,Romania,Leste Europeu,Europa
GEO496,Le Plessis-Robinson,Ile-de-France,France,France,Europa Ocidental,Europa
GEO497,Crépy-en-Valois,Picardy,France,France,Europa Ocidental,Europa
GEO498,Gent Area,,Belgium,Belgium,Europa Ocidental,Europa
GEO499,Gamston,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO500,Blagnac,Midi-Pyrénées,France,France,Europa Ocidental,Europa
GEO501,,,Mauritius,Mauritius,Outros,Outros
GEO502,Frankfurt,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO503,Hendersonville,Tennessee,United States,United States,Outros,Outros
GEO504,,,Estonia,Estonia,Outros,Europa
GEO505,Ulverston,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO506,Bern,Berne,Switzerland,Switzerland,Outros,Europa
GEO507,Rochester,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO508,Wingfield,Wiltshire,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO509,Cork,County Cork,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO510,,,Rwanda,Rwanda,Outros,Outros
GEO511,Casablanca,,Morocco,Morocco,Outros,Outros
GEO512,London Area,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO513,Redhill,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO514,Bournemouth,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO515,Montauban Area,,France,France,Europa Ocidental,Europa
GEO516,Peterborough,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO517,Heitersheim,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO518,Meyrin,Geneva,Switzerland,Switzerland,Outros,Europa
GEO519,,,Pakistan,Pakistan,Outros,Outros
GEO520,Darlington,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO521,,,Piotrkow Trybunalski Metropolitan Area,Poland,Leste Europeu,Europa
GEO522,Hagen,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO523,Amsterdam,North Holland,Netherlands,Netherlands,Europa Ocidental,Europa
GEO524,Regensburg,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO525,Passau,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO526,Hasselt,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO527,Guará,Federal District,Brazil,Brazil,Outros,Outros
GEO528,Osnabrück,Lower Saxony,Germany,Germany,Europa Ocidental,Europa
GEO529,,,Porto Metropolitan Area,United States,Outros,Outros
GEO530,,,Stuttgart Region,Germany,Europa Ocidental,Europa
GEO531,Essen,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO532,Cambridge,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO533,Châtenay-en-France,Ile-de-France,France,France,Europa Ocidental,Europa
GEO534,,,Russia,Russia,Outros,Europa
GEO535,,,Greater Malaga Metropolitan Area,Spain,Europa do Sul,Europa
GEO536,Mandres-les-Roses,Ile-de-France,France,France,Europa Ocidental,Europa
GEO537,,,Bulgaria,Bulgaria,Leste Europeu,Europa
GEO538,Aachen,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO539,Greater Northampton Area,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO540,Thane,Maharashtra,India,India,Outros,Outros
GEO541,Münster,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO542,Übach-Palenberg,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO543,Edinburgh,Scotland,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO544,Graz,Styria,Austria,Austria,Outros,Europa
GEO545,Wealden,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO546,St.-Maur-des-Fossés,Ile-de-France,France,France,Europa Ocidental,Europa
GEO547,Grevenbroich,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO548,Oeiras,Lisbon,Portugal,Portugal,Europa do Sul,Europa
GEO549,,,Luxembourg,Luxembourg,Europa Ocidental,Europa
GEO550,Massy,Ile-de-France,France,France,Europa Ocidental,Europa
GEO551,Milton Keynes,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO552,Acton,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO553,Bavière,,Allemagne,Germany,Europa Ocidental,Europa
GEO554,Cottenham,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO555,,,Ukraine,Ukraine,Leste Europeu,Europa
GEO556,,,Austria,Austria,Outros,Europa
GEO557,Langenfeld,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO558,,,Greater Nantes Metropolitan Area,France,Europa Ocidental,Europa
GEO559,Tadley,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO560,Kippax,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO561,Bilbao,Basque Country,Spain,Spain,Europa do Sul,Europa
GEO562,Dubai,,United Arab Emirates,United Arab Emirates,Outros,Outros
GEO563,Freiburg,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO564,Almada,Setúbal,Portugal,Portugal,Europa do Sul,Europa
GEO565,Herzogenaurach,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO566,Fulda,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO567,Slough,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO568,Liège,Walloon Region,Belgium,Belgium,Europa Ocidental,Europa
GEO569,Burj Al Kifan,Algiers,Algeria,Algeria,Outros,Outros
GEO570,Weilburg,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO571,Chanteloup-les-Vignes,Ile-de-France,France,France,Europa Ocidental,Europa
GEO572,Bourne,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO573,Sutton Coldfield,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO574,Alzey,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO575,Bad Salzdetfurth,Lower Saxony,Germany,Germany,Europa Ocidental,Europa
GEO576,Sliema,,Malta,Malta,Outros,Europa
GEO577,Sittingbourne,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO578,Aulnay-sous-Bois,Ile-de-France,France,France,Europa Ocidental,Europa
GEO579,Barcelona,Cataluña,Espana,Spain,Europa do Sul,Europa
GEO580,,,Brussels et peripherie,Belgium,Europa Ocidental,Europa
GEO581,Madrid,Madrid,Spain,Spain,Europa do Sul,Europa
GEO582,Nuremberg,Bavière,Allemagne,Germany,Europa Ocidental,Europa
GEO583,Bogor,West Java,Indonesia,Indonesia,Outros,Outros
GEO584,,,Dresde et peripherie,Germany,Europa Ocidental,Europa
GEO585,Maribor,Maribor,Slovenia,Slovenia,Outros,Europa
GEO586,Montmorency,Ile-de-France,France,France,Europa Ocidental,Europa
GEO587,Indore,Madhya Pradesh,India,India,Outros,Outros
GEO588,,,Serbia,Serbia,Leste Europeu,Europa
GEO589,Yokohama,Kanagawa,Japan,Japan,Outros,Outros
GEO590,,,Greater Dublin,Ireland,Norte da Europa (Ilhas),Europa
GEO591,Longridge,Scotland,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO592,Landen,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO593,Brussels Region,,Belgium,Belgium,Europa Ocidental,Europa
GEO594,Charleroi,Walloon Region,Belgium,Belgium,Europa Ocidental,Europa
GEO595,,,Namur Metropolitan Area,Belgium,Europa Ocidental,Europa
GEO596,Voiron,Auvergne-Rhone-Alpes,France,France,Europa Ocidental,Europa
GEO597,Worcester City,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO598,,,El Salvador,El Salvador,Outros,Outros
GEO599,,,Greater Nice Metropolitan Area,France,Europa Ocidental,Europa
GEO600,,,Madagascar,Madagascar,Outros,Outros
GEO601,Riga,,Latvia,Latvia,Outros,Europa
GEO602,Cluj,,Romenia,Romania,Leste Europeu,Europa
GEO603,,,Greece,Greece,Europa do Sul,Europa
GEO604,Derby,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO605,Plattling,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO606,Bromley,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO607,,,Cracow Metropolitan Area,Poland,Leste Europeu,Europa
GEO608,Marburg an der Lahn,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO609,Reno,Nevada,United States,United States,Outros,Outros
GEO610,,,Greater Bordeaux Metropolitan Area,France,Europa Ocidental,Europa
GEO611,,,Greater Lille Metropolitan Area,France,Europa Ocidental,Europa
GEO612,Bourgogne-Franche-Comté,,France,France,Europa Ocidental,Europa
GEO613,,,Lodz Metropolitan Area,Poland,Leste Europeu,Europa
GEO614,Metz,Grand Est,France,France,Europa Ocidental,Europa
GEO615,Bamberg,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO616,Dortmund,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO617,,,Hannover-Braunschweig-Gottingen-Wolfsburg Region,Germany,Europa Ocidental,Europa
GEO618,Leeds,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO619,Weimar,Thuringia,Germany,Germany,Europa Ocidental,Europa
GEO620,City Of Westminster,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO621,Gurgaon,Haryana,India,India,Outros,Outros
GEO622,Ranst,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO623,Constance,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO624,Mechelen,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO625,Wokingham,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO626,Vitrolles,Provence-Alpes-Cote d'Azur,France,France,Europa Ocidental,Europa
GEO627,Valencia,Valencian Community,Spain,Spain,Europa do Sul,Europa
GEO628,Holzkirchen,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO629,Hamden,Connecticut,United States,United States,Outros,Outros
GEO630,Seoul,,"Korea, Republic of",South Korea,Outros,Outros
GEO631,Canterbury,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO632,,,Greater Aberdeen Area,United Kingdom,Norte da Europa (Ilhas),Europa
GEO633,Eppertshausen,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO634,Schloß Holte-Stukenbrock,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO635,Mumbai,Maharashtra,India,India,Outros,Outros
GEO636,Lozenets,Sofia,Bulgarie,Bulgaria,Leste Europeu,Europa
GEO637,Sandyford,Dún Laoghaire-Rathdown,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO638,Geneva,Geneva,Switzerland,Switzerland,Outros,Europa
GEO639,,,Rhein-Neckar Metropolitan Region,Germany,Europa Ocidental,Europa
GEO640,Isernhagen Farster Bauerschaft,Lower Saxony,Germany,Germany,Europa Ocidental,Europa
GEO641,Ismaning,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO642,,,Greater Kassel Area,Germany,Europa Ocidental,Europa
GEO643,Tel Aviv District,,Israel,Israel,Outros,Outros
GEO644,Stadt Hamburg,Hamburg,Germany,Germany,Europa Ocidental,Europa
GEO645,Budapest,Budapest,Hungary,Hungary,Leste Europeu,Europa
GEO646,Pamplona,Chartered Community of Navarre,Spain,Spain,Europa do Sul,Europa
GEO647,Ozoir-la-Ferrière,Ile-de-France,France,France,Europa Ocidental,Europa
GEO648,,,Greater La Rochelle Area,France,Europa Ocidental,Europa
GEO649,Gilching,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO650,Leicester,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO651,Bolívar,,"Venezuela, Bolivarian Republic of",Venezuela,Outros,Outros
GEO652,Ingelheim am Rhein,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO653,Braşov,,Romenia,Romania,Leste Europeu,Europa
GEO654,Greater London,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO655,,,Greater Vigo Metropolitan Area,Spain,Europa do Sul,Europa
GEO656,Framlingham,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO657,Montabaur,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO658,Rosenheim,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO659,Raubling,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO660,Iphofen,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO661,South Croydon,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO662,Tonbridge,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO663,Reading,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO664,Vallendar,Rhineland-Palatinate,Germany,Germany,Europa Ocidental,Europa
GEO665,Woodley,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO666,Metro Manila,National Capital Region,Philippines,Philippines,Outros,Outros
GEO667,,,Bosnia and Herzegovina,Bosnia and Herzegovina,Outros,Europa
GEO668,Newcastle Upon Tyne,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO669,Newcastle upon Tyne,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO670,Schliersee,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO671,Killorglin,County Kerry,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO672,Sinsheim,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO673,São Paulo,,Brazil,Brazil,Outros,Outros
GEO674,Skipton,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO675,Murcia,Región de Murcia,Spain,Spain,Europa do Sul,Europa
GEO676,Mannheim,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO677,Capital,,Portugal,Portugal,Europa do Sul,Europa
GEO678,,,Netherlands,Netherlands,Europa Ocidental,Europa
GEO679,Trossingen,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO680,Neuses,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO681,Marseille,Provence-Alpes-Cote d'Azur,France,France,Europa Ocidental,Europa
GEO682,Eschweiler,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO683,Kempen,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO684,Warrington,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO685,Linkenheim-Hochstetten,Baden-Württemberg,Germany,Germany,Europa Ocidental,Europa
GEO686,Fleury-la-Montagne,Bourgogne-Franche-Comté,France,France,Europa Ocidental,Europa
GEO687,Castres,Occitanie,France,France,Europa Ocidental,Europa
GEO688,Aveiro,Aveiro,Portugal,Portugal,Europa do Sul,Europa
GEO689,Maharashtra,,India,India,Outros,Outros
GEO690,Mühltal,Hesse,Germany,Germany,Europa Ocidental,Europa
GEO691,Panaji,Goa,India,India,Outros,Outros
GEO692,Níkaia,Attiki,Greece,Greece,Europa do Sul,Europa
GEO693,Möhrendorf,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO694,Würselen,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO695,Lynnfield,Massachusetts,United States,United States,Outros,Outros
GEO696,Boca Raton,Florida,United States,United States,Outros,Outros
GEO697,Manchester,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO698,Santa Barbara,California,United States,United States,Outros,Outros
GEO699,Boituva,São Paulo,Brazil,Brazil,Outros,Outros
GEO700,Ponte do Lima,Viana do Castelo,Portugal,Portugal,Europa do Sul,Europa
